window,total_return,win_rate,total_trades,avg_return_per_trade,max_return,min_return,profitable
0,-0.6862273465209034,0.4008714596949891,459,-0.0014950486852307265,0.03247570808146294,-0.04297732973296842,False
1,-0.6331950477802224,0.4116279069767442,430,-0.0014725466227447032,0.026784741349514696,-0.028508630881601937,False
10,-0.5498036162452635,0.44106463878326996,526,-0.0010452540232799687,0.05830077891719043,-0.04676436643493209,False
11,-0.5164203832886944,0.3963730569948187,386,-0.001337876640644286,0.019904762385207886,-0.021066295491490306,False
2,-0.7423342029018216,0.41509433962264153,424,-0.0017507882143910887,0.020719344057683164,-0.04335276429433199,False
3,-0.4042123584355078,0.4205128205128205,390,-0.0010364419447064302,0.03693963407964207,-0.039767649066216326,False
4,-1.056594042867818,0.39285714285714285,476,-0.002219735384176088,0.07866657132658184,-0.08068516106642654,False
5,-0.5083562798083164,0.4393939393939394,462,-0.001100338267983369,0.048944527860676046,-0.039038608419123655,False
6,-0.549031577229152,0.42748091603053434,393,-0.001397026914069089,0.019773178309383077,-0.031373443483721286,False
7,-0.7144547130503343,0.4021164021164021,378,-0.0018900918334664926,0.04275577837360234,-0.03387419270645309,False
8,-0.31541168158801164,0.38,250,-0.0012616467263520466,0.008664980546648215,-0.015367219964758094,False
9,-0.5262963386843075,0.4039408866995074,406,-0.0012962964007002648,0.012540752198144212,-0.02515864140754498,False
